SampleNo,CrackLocation,CrackType,Freq1,Freq2,Freq3,CrackReason,CrackPresent,NumberOfCracks,ReferencePoint,Crack1Distance(mm),Crack2Distance(mm),Crack3Distance(mm),Mode1Shape(mm),Mode2Shape(mm),Mode3Shape(mm)
86,Spar 3,Transverse,46.74,334.78,388.2,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,174.9,,,117.91,362.13,521.19
87,Spar 2,Multiple Cracks,41.02,314.61,418.81,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,176.9,59.2,,129.98,389.58,609.4
88,Spar 3,Inclined,46.49,303.6,467.13,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,161.2,,,104.72,304.27,463.45
89,Leading Edge,V-Notch,58.37,348.73,396.28,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,50.0,,,131.2,397.3,582.67
90,Rib 1,Inclined,46.65,285.61,472.49,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,75.6,,,77.29,246.64,353.61
91,Upper Skin,Inclined,68.53,328.83,444.06,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,3.3,,,110.95,344.55,489.08
92,Spar 1,Inclined,43.73,335.56,397.58,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,164.5,,,81.88,234.29,343.61
93,Spar 1,Through Thickness,68.84,270.59,373.74,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,40,,,94.93,277.89,390.02
94,Trailing Edge,Multiple Cracks,53.66,310.67,483.68,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,257,58.2,,193.17,573.7,887.47
95,Spar 2,Inclined,40.63,309.11,467.16,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,71.9,,,82.17,252.43,367.62
96,Spar 1,Inclined,41.14,278.13,394.15,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,114.1,,,85.2,245.05,356.91
97,Spar 1,Through Thickness,44.48,271.09,500.17,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,227.7,,,101.63,292.56,450.46
98,Spar 2,Transverse,55.15,321.59,483.84,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,127.9,,,111.53,325.85,480.62
99,Spar 3,Inclined,51.96,318,423.62,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,224.7,,,95.91,294.87,423.39
100,Upper Skin,Inclined,50.92,273,445.33,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,45.4,,,106.82,302.18,436.2
101,No Crack,Base Model,75.45,286.11,553.70,NaN,No,0,-,-,-,-,25.6,25,25.08
102,Rib 1,Transverse,54.96,313.67,385.88,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,51.2,,,76.66,227.35,321.65
103,Trailing edge,Transverse,54.96,313.65,386.24,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,202.9,,,174.87,509.38,772.72
104,Rib 1,Multiple Cracks,54.91,312.35,366.95,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,2.1,44.2,,88.78,272.64,423.16
105,Leading Edge,V-Notch,55.44,335.45,443.89,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,23.0,,,136.1,387.35,606.41
106,Leading Edge,V-Notch,55.42,296.15,349.14,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,89.0,,,138.36,411.25,619.13
107,Leading Edge,V-Notch,51.32,316.34,394.59,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,18.6,,,140.31,406.05,605.75
108,Rib 1,X-Crack,54.96,312.59,369.72,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,60.5,,,71.37,206.85,300.45
109,Rib 1,Irregular,55.96,312.19,385.27,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,92.7,,,76.39,224.81,329.04
110,Upper Skin,Surface Crack,74.82,285.67,552.9,Stress Concentration at the Rib Junction,Yes,2,Wing Root,120.4,240.8,,107.38,320.32,468.58
111,Rib 2,Transverse,68.98,371.40,366.72,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,94.9,,,84.74,253.78,391.09
112,Leading Edge,V-Notch,53.74,281.52,399.47,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,69.4,,,147.32,443.75,706.05
113,Leading Edge,V-Notch,61.67,337.28,394.78,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,44.8,,,151.35,472.55,698.83
114,Upper Skin,Transverse,52.13,363.36,331.27,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,106.8,,,115.19,346.5,548.13
115,Upper Skin,Transverse,57.85,340.86,363.27,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,121.9,,,105.97,297.4,443.11
116,Spar 3,Transverse,51.73,318.41,423.89,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,147.1,,,120.9,372.64,538.49
117,Rib 2,Transverse,61.27,296.55,361.88,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,99.5,,,86.98,265.35,424.27
118,Leading Edge,V-Notch,62.78,332.28,344.73,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,15.9,,,131.02,373.13,581.2
119,Upper Skin,Transverse,52.38,294.50,369.48,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,239.5,,,141.37,404.28,595.63
120,Rib 2,Transverse,68.83,290.68,371.14,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,97.2,,,79.79,243.38,382.82
121,Spar 1,Transverse,62.74,298.99,456.70,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,2,Wing Root,300.2,,,94.91,288.13,440.04
122,Trailing edge,Transverse,42.35,338.34,395.41,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,169.9,,,136.01,405.51,578.47
123,Rib 2,Transverse,52.54,305.77,386.85,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,74.7,,,86.89,248.88,394.45
124,Leading Edge,V-Notch,55.28,292.55,389.55,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,23.5,,,164.39,486.72,766.56
125,Leading Edge,V-Notch,50.45,288.68,380.21,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,52.3,,,156.2,474.85,714.32
126,Rib 3,Through Thickness,38.93,376.30,440.39,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,57.3,,,84.03,245.7,382.09
127,Rib 5,Through Thickness,45.26,286.68,441.63,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,18.8,,,82.71,256.84,401.85
128,Lower Skin,Through Thickness,66.46,304.24,486.11,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,286.8,,,138.32,426.3,617.95
129,Leading Edge,V-Notch,54.97,313.66,384.11,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,302.5,,,164.11,471.82,710.28
130,Spar 2,Through Thickness,58.26,274.53,432.21,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,26.8,,,102.01,314.69,480.57
131,Rib 5,Through Thickness,50.37,297.59,398.61,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,18.6,,,82.85,250.98,371.19
132,Upper Skin,Through Thickness,42.99,250.66,437.36,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,116.6,,,146.28,431.45,650.9
133,Rib 2,Through Thickness,57.75,289.07,462.70,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,77.0,,,91.73,271.58,386.15
134,Spar 1,Through Thickness,38.00,264.12,558.53,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,191.2,,,120.3,345.79,532.56
135,Rib 3,Through Thickness,39.85,392.29,503.11,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,42.8,,,96.68,272.47,413.79
136,Rib 2,Through Thickness,48.69,329.30,380.54,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,3,Trailing Edge,19.9,,,99.57,312.49,462.8
137,Rib 2,Through Thickness,60.93,332.28,487.28,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,94.5,,,83.69,265.27,414.59
138,Leading Edge,V-Notch,58.76,306.58,409.48,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,302.2,,,148.89,466.52,718.81
139,Spar 1,Through Thickness,63.01,279.62,422.39,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,215.0,,,125.72,396.73,632.01
140,Spar 2,Through Thickness,62.40,344.92,396.85,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,31.0,,,124.55,372.93,570.92
141,Spar 2,Through Thickness,56.95,265.14,412.23,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,33.0,,,103.61,328.6,524.17
142,Trailing Edge,Through Thickness,49.40,291.13,383.49,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,49.8,,,171.26,543.55,780.63
143,Trailing Edge,Through Thickness,42.10,336.30,374.61,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,280.9,,,162.18,487.73,759.74
144,Spar 1,Through Thickness,62.95,373.15,406.56,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,242.9,,,98.41,310.77,486.81
